ds,y
2005-07-01,6.631720430107527
2005-08-01,6.378983382209188
2005-09-01,8.598737373737373
2005-10-01,11.19354838709677
2005-11-01,16.455555555555556
2005-12-01,17.311827956989244
2006-01-01,14.318858560794046
2006-02-01,13.656655844155841
2006-03-01,8.50268817204301
2006-04-01,7.186111111111111
2006-05-01,5.465298142717499
2006-06-01,5.963636363636365
2006-07-01,5.33498759305211
2006-08-01,5.702233250620346
2006-09-01,8.141025641025642
2006-10-01,9.674524400330851
2006-11-01,14.656410256410254
2006-12-01,16.429487179487182
2007-01-01,14.464019851116626
2007-02-01,11.979395604395604
2007-03-01,9.23821339950372
2007-04-01,6.823931623931624
2007-05-01,5.78163771712159
2007-06-01,5.106410256410257
2007-07-01,4.964019851116626
2007-08-01,6.112696443341606
